"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,"Base Year",
"Singapore","576","Consumer Prices, period average, percent change","PCPI_PCH","Value","2.3586041539983","1.02514803039394","-0.522618167075243","-0.532268739716284","0.576260310166378","0.438620118446783","0.565260568780325","-0.181916666666694","2.30485959040491","6.12106004039415","5.79707036266385","",
"India","534","Gross domestic product, constant prices, National Currency, percent change","NGDP_RPCH","Value","6.38607101688697","7.41018857567871","7.9962612809862","8.25630701113243","6.79539396125669","6.45383876852665","3.87146061827025","-5.83103537480117","9.05026039079076","6.83062918192209","5.88989150205868","",
"Fiji","819","Unemployment rate","LUR","Value","6.36666666666667","6.2","5.5","5.5","4.5","4.5","4.5","13.3505711817562","9","6.5","5.5","",
"India","534","Consumer Prices, period average, percent change","PCPI_PCH","Value","9.39999999999974","5.8000000000005","4.89999999999998","4.49999999999954","3.60231039881109","3.42832156602441","4.76203426835919","6.17494894774704","5.50699372216374","6.67252194054013","4.94475393633082","",
"Vietnam","582","Gross domestic product, constant prices, National Currency, percent change","NGDP_RPCH","Value","5.5535106569421","6.42224332661276","6.98715423120834","6.69000890253613","6.94019040974902","7.46500674987132","7.35926274219453","2.86722059193513","2.56156125341931","8.01789749168434","5.76345809833038","",
"Kiribati","826","Consumer Prices, end of period, percent change","PCPIE_PCH","Value","0.831510249872282","3.11568371476453","0.633444361130975","0.74782653607298","2.4985997149964","-1.13367654714896","-0.906307637513994","2.76926581524664","2.53366922340272","16.1999999999999","-2.20000000000001","",
"China, P.R.: Mainland","924","Consumer Prices, period average, percent change","PCPI_PCH","Value","2.56845596509587","2.05085267736846","1.54188553268137","2.121217749875","1.52058058531416","1.92779718713566","2.9020407445816","2.48966553927136","0.852507104225586","1.87569202293811","1.98490793206913","",
"Sri Lanka","524","Consumer Prices, end of period, percent change","PCPIE_PCH","Value","4.64646464646464","1.35135135135136","4.57142857142857","4.46265938069217","7.14908456843941","2.76647681041496","4.82977038796517","4.22960725075528","12.1014492753623","57.207498383969","15.2144234787899","",
"China, P.R.: Hong Kong","532","Consumer Prices, end of period, percent change","PCPIE_PCH","Value","4.34258142340168","4.85549132947977","2.31532524807056","1.18534482758622","1.70394036208732","2.51308900523561","2.86006128702758","-0.893743793445885","2.40480961923848","1.95694716242661","2.46796593710364","",
"Vietnam","582","Consumer Prices, end of period, percent change","PCPIE_PCH","Value","6.0361250960075","1.83916209933333","0.597097329925695","4.73724753451867","2.59735516451939","2.98296514826081","5.23664701066823","0.187234072315773","1.80834501604547","4.60752116019626","4.73999999999998","",
"China, P.R.: Mainland","924","Gross domestic product, constant prices, National Currency, percent change","NGDP_RPCH","Value","7.77062110194113","7.39132222748215","7.01838662575656","6.85051140741568","6.94671762516273","6.7508629160124","5.95096594858045","2.24203884043408","8.44961129373317","2.98771685358717","5.237679872362","",
"Kiribati","826","Gross domestic product, constant prices, National Currency, percent change","NGDP_RPCH","Value","4.16161377801443","-1.0962750947392","9.8651241537476","-0.478157950618034","-0.0936275291471129","5.27883183395027","-2.14567646351308","-1.3841832226086","7.88634270712428","1.1538882069704","2.46740867948975","",
"Sri Lanka","524","Unemployment rate","LUR","Value","4.4","4.3","4.7","4.4","4.2","4.4","4.8","5.5","5.1","5.25","5","",
"Indonesia","536","Consumer Prices, end of period, percent change","PCPIE_PCH","Value","8.07788448888304","8.36275106512476","3.35879577623007","3.0214107162265","3.60797552484438","3.15650137460545","2.58612180436285","1.68382565188107","1.87358062074185","5.5080809957273","3.17837288764856","",
"Micronesia, Federated States of","868","Gross domestic product, constant prices, National Currency, percent change","NGDP_RPCH","Value","-3.67978653431383","-2.30577862714524","4.62189828080182","0.900187187079227","2.68217886684274","0.211658398706768","1.20000000000012","-1.81830248944221","-3.24675225240667","-0.630719517736932","2.84032838912575","",
"Lao People's Democratic Republic","544","Consumer Prices, period average, percent change","PCPI_PCH","Value","6.37142717782944","4.12924306873773","1.2773542710298","1.5969122758318","0.825478607568527","2.04039266890164","3.32255881256989","5.10407262959865","3.75351172924431","23.0000000000006","15.0999999999998","",
"Bhutan","514","Unemployment rate","LUR","Value","2.9","2.6","2.5","2.1","3.137514236379","3.4","2.72049487424865","5.02985912771495","4.8","5.9",,"",
"Kiribati","826","Consumer Prices, period average, percent change","PCPI_PCH","Value","-1.48805908468121","2.10398520925058","0.572015743633919","1.91731090233424","0.355520888546902","0.564030491492873","-1.81307995302909","2.55324554414617","2.05361676773941","5.33999999999994","8.59999999999958","",
"Papua New Guinea","853","Gross domestic product, constant prices, National Currency, percent change","NGDP_RPCH","Value","3.82494626617895","13.5437706227545","6.57554375313886","5.49235706252707","3.53461088359531","-0.279252336784451","4.48046415939824","-3.16738525450873","0.0704855516834124","4.53584218570791","3.6964580824901","",
"Cambodia","522","Consumer Prices, period average, percent change","PCPI_PCH","Value","2.94393278215224","3.85336048879881","1.21498200533585","3.03464705362248","2.90624533033896","2.4598700673705","1.94380498940871","2.9382645541811","2.92128228537726","5.32731617141854","2.98997269854247","",
"Indonesia","536","Balance of Payments, Current Account, Total, Net(BPM6), percent of GDP in U.S. dollars","BCA_GDP_BP6","Value","-3.17564905140395","-3.08731944644975","-2.03527596031986","-1.81890964716866","-1.59493752380626","-2.93786939375586","-2.70481209786974","-0.417236537815602","0.295581361039701","1.00213082366466","-0.273778341803164","",
